Country,Doses administered per 100 people,Total doses administered,% of population vaccinated,% of population fully vaccinated
Afghanistan,6.2,2369625,2.2,1.1
Albania,64.0,1816580,34.0,30.0
Algeria,33.0,14082920,14.0,9.4
Angola,14.0,4448653,9.9,4.1
Argentina,124.0,55605668,69.0,55.0
Armenia,17.0,514241,12.0,5.8
Aruba,149.0,158065,77.0,71.0
Australia,128.0,32494119,72.0,56.0
Austria,126.0,11207136,65.0,62.0
Azerbaijan,91.0,9138351,49.0,42.0
Bahamas,61.0,238432,34.0,28.0
Bahrain,165.0,2700105,71.0,69.0
Bangladesh,34.0,56133021,23.0,11.0
Barbados,90.0,258231,50.0,40.0
Belarus,45.0,4218130,26.0,18.0
Belgium,146.0,16741664,75.0,74.0
Belize,88.0,344463,51.0,37.0
Benin,2.1,252698,1.8,1.6
Bhutan,143.0,1087753,77.0,66.0
Bolivia,60.0,6931689,38.0,30.0
Bosnia and Herzegovina,38.0,1242203,22.0,15.0
Botswana,34.0,783999,23.0,11.0
Brazil,122.0,256425302,74.0,50.0
Brunei,130.0,563695,78.0,52.0
Bulgaria,38.0,2626708,20.0,20.0
Burkina Faso,1.5,297231,1.3,1.0
Cambodia,159.0,26235936,82.0,75.0
Cameroon,1.9,479521,1.5,0.5
Canada,153.0,57562705,79.0,74.0
Cape Verde,84.0,460484,53.0,30.0
Central African Republic,5.4,255345,5.2,0.2
Chad,1.1,183351,0.9,0.2
Chile,180.0,34128477,85.0,76.0
Colombia,87.0,43881718,56.0,38.0
Comoros,42.0,360675,23.0,19.0
Congo,0.2,140254,0.1,0.0
Costa Rica,117.0,5921089,70.0,47.0
Croatia,86.0,3516613,46.0,43.0
Cuba,211.0,23920914,85.0,59.0
Curaçao,121.0,189909,63.0,58.0
Cyprus,100.0,1193859,50.0,47.0
Czech Republic,112.0,11907065,57.0,56.0
Denmark,151.0,8813691,77.0,76.0
Djibouti,9.5,92097,6.8,2.7
Dominican Rep.,116.0,12434612,58.0,47.0
Ecuador,122.0,21254562,67.0,58.0
Egypt,20.0,20154366,13.0,6.6
El Salvador,125.0,8096778,66.0,56.0
Equatorial Guinea,31.0,414506,17.0,13.0
Estonia,105.0,1398698,58.0,55.0
Eswatini,23.0,266056,20.0,20.0
Ethiopia,3.5,3955493,2.7,0.8
Fiji,123.0,1090963,67.0,56.0
Finland,143.0,7884935,76.0,67.0
France,145.0,96920975,76.0,68.0
French Polynesia,107.0,298182,55.0,52.0
Gabon,9.5,206373,5.5,4.0
Gambia,8.9,208379,7.9,7.3
Georgia,51.0,1899938,27.0,24.0
Germany,132.0,109892041,69.0,66.0
Ghana,7.2,2189552,4.5,2.7
Greece,116.0,12393460,61.0,59.0
Grenada,55.0,62095,32.0,24.0
Guatemala,48.0,8010612,30.0,18.0
Guinea,16.0,2010423,11.0,5.1
Guinea-Bissau,6.3,120641,5.8,0.5
Guyana,76.0,596526,47.0,29.0
Haiti,0.9,96073,0.6,0.2
Honduras,62.0,6058428,36.0,26.0
Hong Kong,119.0,8893465,61.0,58.0
Hungary,124.0,12111107,61.0,58.0
Iceland,156.0,562426,78.0,77.0
India,71.0,972686142,51.0,20.0
Indonesia,62.0,168836886,39.0,23.0
Iran,78.0,64401471,54.0,23.0
Iraq,21.0,8187299,13.0,8.0
Ireland,147.0,7271200,77.0,75.0
Israel,174.0,15731634,69.0,63.0
Italy,145.0,87479306,77.0,70.0
Ivory Coast,10.0,2578266,7.7,2.4
Jamaica,29.0,860482,19.0,11.0
Japan,141.0,178255509,75.0,66.0
Jordan,72.0,7226625,38.0,34.0
Kazakhstan,82.0,15101387,43.0,38.0
Kenya,8.5,4482179,6.2,2.3
Kiribati,44.0,51428,37.0,7.1
Kosovo,81.0,1489678,45.0,36.0
Kuwait,56.0,2375455,63.0,22.0
Kyrgyzstan,25.0,1592816,14.0,11.0
Laos,61.0,4402770,43.0,33.0
Latvia,92.0,1768719,53.0,49.0
Lebanon,45.0,3108316,25.0,21.0
Lesotho,18.0,383341,16.0,16.0
Liberia,1.9,93617,1.7,0.2
Libya,26.0,1739046,21.0,4.4
Lithuania,119.0,3308522,64.0,59.0
Luxembourg,129.0,799074,68.0,64.0
Macau,117.0,739977,66.0,52.0
Madagascar,1.4,381633,0.7,0.7
Mainland China,159.0,2229212000,79.0,75.0
Malawi,6.1,1134986,4.7,2.8
Malaysia,146.0,46761751,77.0,69.0
Maldives,140.0,742929,74.0,66.0
Mali,3.0,584773,1.7,1.3
Malta,169.0,850536,85.0,85.0
Mauritania,29.0,1298995,16.0,13.0
Mauritius,135.0,1713794,70.0,66.0
Mexico,87.0,111427630,54.0,40.0
Moldova,55.0,1456392,31.0,31.0
Mongolia,136.0,4389528,70.0,66.0
Montenegro,78.0,483790,41.0,37.0
Morocco,121.0,44069544,63.0,56.0
Mozambique,12.0,3677063,6.3,5.8
Myanmar,23.0,12263702,16.0,7.2
Namibia,20.0,495048,11.0,8.4
Nepal,52.0,14857561,29.0,23.0
Netherlands,137.0,23793422,74.0,67.0
New Caledonia,100.0,286813,57.0,43.0
New Zealand,124.0,6113819,71.0,53.0
Nicaragua,15.0,999990,10.0,5.0
Niger,2.8,646086,1.8,0.9
Nigeria,3.7,7478203,2.5,1.2
North Macedonia,75.0,1557028,38.0,36.0
Norway,148.0,7895768,78.0,69.0
Oman,106.0,5254466,59.0,46.0
Pakistan,43.0,93551193,30.0,16.0
Panama,126.0,5334950,70.0,55.0
Papua New Guinea,2.2,194962,1.5,0.7
Paraguay,70.0,4926677,41.0,29.0
Peru,96.0,31213154,54.0,42.0
Philippines,48.0,51482063,26.0,22.0
Poland,101.0,38252125,53.0,52.0
Portugal,157.0,16104710,87.0,86.0
Qatar,169.0,4787360,83.0,78.0
Republic of the Congo,7.4,398685,5.2,2.2
Romania,57.0,11074621,33.0,29.0
Russia,68.0,98585601,36.0,33.0
Rwanda,37.0,4646977,23.0,14.0
Saint Lucia,47.0,86700,27.0,21.0
Saint Vincent and the Grenadines,34.0,37377,21.0,13.0
Samoa,87.0,172316,58.0,29.0
São Tomé and Príncipe,48.0,102791,35.0,13.0
Saudi Arabia,130.0,44521775,70.0,60.0
Senegal,11.0,1836019,7.8,3.5
Serbia,96.0,6678484,44.0,42.0
Sierra Leone,4.6,359091,3.7,0.9
Singapore,172.0,9823374,83.0,82.0
Slovakia,87.0,4752324,45.0,42.0
Slovenia,106.0,2204170,55.0,51.0
Solomon Islands,21.0,141920,17.0,4.3
Somalia,3.9,599715,2.2,1.7
South Africa,34.0,19899964,24.0,18.0
South Korea,137.0,70863605,78.0,62.0
South Sudan,1.0,115650,0.7,0.3
Spain,151.0,70982052,80.0,79.0
Sri Lanka,126.0,27488241,68.0,58.0
Sudan,3.5,1499982,1.5,1.4
Suriname,73.0,425614,41.0,32.0
Sweden,138.0,14142963,70.0,66.0
Switzerland,126.0,10778679,66.0,62.0
Syria,5.3,902519,4.0,2.2
Taiwan,82.0,19435019,61.0,21.0
Tajikistan,49.0,4525937,27.0,22.0
Tanzania,1.5,885579,0.6,1.5
Thailand,91.0,63614352,53.0,36.0
Timor-Leste,63.0,810855,38.0,24.0
Togo,15.0,1215025,10.0,5.1
Tonga,71.0,74503,45.0,26.0
Trinidad and Tobago,84.0,1173839,44.0,40.0
Tunisia,74.0,8620009,46.0,35.0
Turkey,136.0,113862236,66.0,57.0
Turkmenistan,128.0,7580976,74.0,54.0
U.A.E.,211.0,20661005,97.0,87.0
U.K.,142.0,94699994,74.0,67.0
Uganda,6.3,2793657,5.4,0.9
Ukraine,32.0,14390358,18.0,15.0
United States,123.0,406570875,66.0,57.0
Uruguay,187.0,6475849,79.0,75.0
Uzbekistan,68.0,22721000,36.0,15.0
Vanuatu,29.0,87583,20.0,9.5
Venezuela,57.0,16127242,35.0,22.0
